iter	Passed	Remaining
0	1	118
1	2	103
2	3	97
3	3	87
4	4	82
5	5	90
6	6	86
7	7	82
8	7	79
9	8	76
10	9	74
11	9	73
12	10	71
13	11	69
14	12	68
15	12	67
16	13	65
17	14	64
18	14	63
19	15	62
20	16	61
21	17	61
22	17	60
23	18	59
24	19	58
25	20	57
26	20	56
27	21	55
28	22	54
29	23	53
30	23	53
31	24	52
32	25	51
33	26	50
34	26	49
35	27	49
36	28	48
37	29	47
38	29	46
39	30	45
40	31	45
41	31	43
42	32	42
43	33	42
44	33	41
45	34	40
46	35	39
47	36	39
48	36	38
49	37	37
50	38	36
51	38	35
52	39	35
53	40	34
54	40	33
55	41	32
56	42	32
57	43	31
58	43	30
59	44	29
60	45	29
61	46	28
62	47	27
63	47	26
64	48	26
65	49	25
66	50	24
67	50	23
68	51	23
69	52	22
70	53	21
71	53	20
72	54	20
73	55	19
74	56	18
75	56	17
76	57	17
77	58	16
78	59	15
79	59	14
80	60	14
81	61	13
82	62	12
83	62	11
84	63	11
85	64	10
86	64	9
87	65	8
88	66	8
89	67	7
90	68	6
91	68	5
92	69	5
93	70	4
94	70	3
95	71	2
96	72	2
97	73	1
98	73	0
99	74	0
